,X_-TACT_TIME_mean,X_-CONVEYOR_SPEED_mean,PUMP_high,PUMP_low,CLN1_over-etching-ratio,CLN1_EPT_time,clean_count,EPT_clean_count_ratio,NH3_TREAT_-RF_FREQ-max,NH3_TREAT_-RF_FREQ-range,NH3_TREAT_-RF_FREQ-mean,NP_3_-MFC_VOL_SIH4-range,VENT_high,VENT_low,Output
34172,140,3150,61794.7,13279.58571,0.000750375,11994,6,1999.0,13972,447,13652.7143,1,17288.92,6540.433333,0.9003816
30331,170,3150,72718.26667,12412.06,0.001250625,11994,8,1499.25,13963,436,13627.6154,1,17400.05714,6481.255556,0.5673766
15689,150,3150,54018.56,8345.7,0.001384083,13005,7,1857.857143,13977,458,13633.5,1,15833.79444,8057.175,0.6421372
1394,150,3150,58536.8,13127.37143,0.00839832,10002,5,2000.4,13981,444,13648.0,1,19501.46,6339.2,0.500225
10416,150,3150,38947.88571,9056.0,0.001197605,10020,5,2004.0,13996,461,13650.25,1,15272.53125,8049.777778,0.76675993
28240,170,3150,51813.4,13279.58571,0.0015,12000,5,2400.0,13986,459,13643.75,1,18003.33571,7239.954545,0.7495344
37138,140,3150,49260.2,12822.97143,0.000499875,12003,2,6001.5,13967,440,13663.5385,1,17936.87857,6947.366667,0.80388653
12480,150,3150,29840.28,10349.7,0.006011561,12975,3,4325.0,13963,440,13649.3571,1,16286.97333,7960.977778,0.4758435
39310,185,3150,39528.46,12412.04,0.008991009,12012,5,2402.4,13982,471,13680.75,1,17932.78,6371.976923,0.45374286
10715,150,3150,32623.75,12465.3,0.000923574,12993,6,2165.5,13981,451,13668.7692,1,17381.28667,7239.945455,0.8618378
4872,150,3150,39154.08571,10616.05714,0.000897935,10023,5,2004.6,13972,460,13595.6364,1,15643.96667,7244.78,0.784171
36487,140,3150,53539.53333,12252.24,0.000750188,11997,6,1999.5,13976,451,13607.0,1,16219.025,6503.441667,0.7988735
38964,190,3150,38564.83333,10882.4,0.003498251,12006,3,4002.0,13969,441,13629.7692,1,16251.21667,7617.68,0.6592986
24507,140,3150,33828.18,9222.4625,0.005309326,12996,4,3249.0,13954,440,13642.4286,1,15210.88125,6105.630769,0.90327895
918,150,3150,41366.0,10768.27143,0.002097064,10014,3,3338.0,13954,438,13625.5,1,16560.21333,8523.281818,0.66221833
13391,150,3150,46661.5,12039.16,0.001616255,12993,6,2165.5,13981,450,13643.5,1,19481.66154,6997.809091,0.7886882
3439,150,3150,49147.86667,12571.84,0.007505254,9993,3,3331.0,13975,446,13640.5,1,15193.50588,7022.018182,0.6713328
11774,150,3150,41058.225,11034.61429,0.002096436,10017,4,2504.25,13965,452,13626.0,1,16286.97333,7960.988889,0.7587134
29038,170,3150,56803.56667,15448.45,0.000249875,12006,3,4002.0,13978,455,13666.0,1,19210.06923,7651.581818,0.6323506
27807,160,3150,37437.4,12838.18,0.01453958,12999,4,3249.75,13958,426,13639.3333,1,15647.17778,7697.59,0.6886754
9270,165,4200,42279.78,12358.76,0.004192872,10017,2,5008.5,13961,442,13629.5,1,17582.5,6371.969231,0.52935755
